X,Y
0.637,1.14E+3
0.375,4.41E+2
0.407,3.62E+2
0.460,4.95E+2
0.500,9.42E+2
0.510,6.46E+2
0.560,8.20E+2
0.587,9.15E+2
0.612,1.02E+3
0.625,1.57E+3
0.017,7.35E-4
0.662,1.25E+3
0.712,1.49E+3
0.740,1.59E+3
0.750,2.19E+3
0.765,1.68E+3
0.790,1.76E+3
0.815,1.85E+3
0.875,2.89E+3
0.917,2.18E+3
0.305,1.54E+2
0.015,2.10E-4
0.020,1.75E-3
0.022,4.06E-3
0.025,7.65E-3
0.030,2.10E-2
0.035,4.77E-2
0.040,8.42E-2
0.045,1.50E-1
0.050,2.41E-1
0.102,3.25E+0
0.127,6.60E+0
0.153,1.25E+1
0.178,2.30E+1
0.204,3.78E+1
0.250,1.00E+2
0.255,8.47E+1
0.280,1.17E+2
0.357,2.48E+2
1.000,3.52E+3
1.020,2.44E+3
1.125,4.18E+3
1.172,2.76E+3
1.250,4.83E+3
1.377,3.10E+3
1.480,3.17E+3
