X,Y
0.9,0.665E-22
1.0,0.130E-20
1.1,0.153E-19
1.2,0.119E-18
1.3,0.655E-18
1.4,0.262E-17
1.5,0.784E-17
1.6,0.181E-16
1.7,0.326E-16
1.8,0.459E-16
1.9,0.501E-16
2.9,0.833E-17
2.8,0.197E-16
2.7,0.289E-16
2.6,0.299E-16
2.5,0.211E-16
2.3,0.132E-18
2.2,0.532E-17
2.1,0.221E-16
2.0,0.407E-16
2.4,0.786E-17
3.7,0.306E-16
3.9,0.217E-16
3.8,0.267E-16
3.6,0.321E-16
3.5,0.302E-16
3.4,0.245E-16
3.3,0.159E-16
3.2,0.678E-17
3.1,0.788E-18
3.0,0.104E-17
4.0,0.166E-16
4.1,0.121E-16
4.2,0.837E-17
4.3,0.557E-17
4.4,0.357E-17
4.5,0.221E-17
4.6,0.132E-17
4.7,0.777E-18
4.8,0.441E-18
