X,Y
0.120,1.509E+01
0.100,6.413E+00
0.900,4.702E+03
0.800,3.809E+03
0.750,3.376E+03
0.700,2.956E+03
0.600,2.164E+03
0.500,1.457E+03
0.480,1.327E+03
0.460,1.203E+03
0.440,1.083E+03
0.420,9.679E+02
0.400,8.584E+02
0.380,7.544E+02
0.340,5.644E+02
0.360,6.564E+02
0.140,2.925E+01
0.160,4.980E+01
0.180,7.738E+01
0.200,1.124E+02
0.220,1.549E+02
0.240,2.050E+02
0.260,2.627E+02
0.280,3.277E+02
0.300,3.998E+02
0.320,4.787E+02
1.900,1.350E+04
1.100,6.550E+03
1.800,1.272E+04
1.700,1.190E+04
1.600,1.107E+04
1.500,1.020E+04
1.400,9.311E+03
1.300,8.403E+03
1.200,7.481E+03
1.000,5.621E+03
2.900,1.976E+04
2.800,1.926E+04
2.700,1.873E+04
2.600,1.817E+04
2.500,1.759E+04
2.300,1.634E+04
2.400,1.698E+04
2.000,1.425E+04
2.200,1.567E+04
2.100,1.498E+04
3.700,2.303E+04
3.900,2.366E+04
3.800,2.336E+04
3.600,2.269E+04
3.500,2.233E+04
3.400,2.196E+04
3.300,2.156E+04
3.200,2.114E+04
3.100,2.071E+04
3.000,2.025E+04
4.000,2.395E+04
4.200,2.449E+04
4.400,2.498E+04
4.600,2.541E+04
4.800,2.580E+04
5.800,2.718E+04
5.600,2.697E+04
5.200,2.645E+04
5.000,2.615E+04
5.400,2.673E+04
6.000,2.736E+04
6.200,2.752E+04
6.400,2.765E+04
6.600,2.776E+04
6.800,2.786E+04
7.800,2.809E+04
7.600,2.807E+04
7.400,2.804E+04
7.200,2.800E+04
7.000,2.794E+04
8.000,2.810E+04
8.200,2.809E+04
8.400,2.808E+04
8.600,2.805E+04
8.800,2.802E+04
9.000,2.798E+04
9.200,2.794E+04
9.400,2.788E+04
9.600,2.782E+04
9.800,2.776E+04
10.000,2.769E+04
