id_number,B201225407
categorize,Collision Processes
collision_data_categorize,Rate Coefficient
collision_process,Reaction
sub_process,Reaction
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Theoretical Data
reaction_formula,OH- + CCl3Br -> CCl3- + HOBr
reference_number,2012001164
author,R. Thomas### Y. Liu### C. A. Mayhew### R. Peverall
title_of_record,Selected ion flow tube studies of the gas-phase reactions of O-, O2- and OH- with a variety of brominated compounds
journal_name,IJMSIP
volume_and_issue_No,155
page_number,163
date_of_publication,1996
