X,Y
0.120,3.937E+00
0.100,1.780E+00
0.900,1.912E+03
0.800,1.521E+03
0.750,1.332E+03
0.700,1.149E+03
0.600,8.082E+02
0.500,5.128E+02
0.480,4.605E+02
0.460,4.108E+02
0.440,3.638E+02
0.420,3.195E+02
0.400,2.780E+02
0.380,2.395E+02
0.340,1.716E+02
0.360,2.040E+02
0.140,7.433E+00
0.160,1.259E+01
0.180,1.971E+01
0.200,2.906E+01
0.220,4.087E+01
0.240,5.533E+01
0.260,7.258E+01
0.280,9.277E+01
0.300,1.160E+02
0.320,1.423E+02
1.900,5.510E+03
1.100,2.712E+03
1.800,5.213E+03
1.700,4.901E+03
1.600,4.572E+03
1.500,4.227E+03
1.400,3.867E+03
1.300,3.493E+03
1.200,3.107E+03
1.000,2.311E+03
2.900,7.675E+03
2.800,7.515E+03
2.700,7.344E+03
2.600,7.162E+03
2.500,6.967E+03
2.300,6.539E+03
2.400,6.760E+03
2.000,5.790E+03
2.200,6.304E+03
2.100,6.055E+03
3.700,8.620E+03
3.900,8.781E+03
3.800,8.704E+03
3.600,8.530E+03
3.500,8.432E+03
3.400,8.327E+03
3.300,8.214E+03
3.200,8.093E+03
3.100,7.963E+03
3.000,7.824E+03
4.000,8.853E+03
4.200,8.980E+03
4.400,9.086E+03
4.600,9.175E+03
4.800,9.247E+03
5.800,9.426E+03
5.600,9.410E+03
5.200,9.352E+03
5.000,9.306E+03
5.400,9.386E+03
6.000,9.433E+03
6.200,9.433E+03
6.400,9.426E+03
6.600,9.414E+03
6.800,9.397E+03
7.800,9.251E+03
7.600,9.287E+03
7.400,9.320E+03
7.200,9.349E+03
7.000,9.375E+03
8.000,9.213E+03
8.200,9.173E+03
8.400,9.131E+03
8.600,9.087E+03
8.800,9.041E+03
9.000,8.995E+03
9.200,8.947E+03
9.400,8.898E+03
9.600,8.848E+03
9.800,8.798E+03
10.000,8.747E+03
