X,Y
0.090,2.515E+03
0.900,1.451E+05
0.800,1.355E+05
0.700,1.236E+05
0.600,1.102E+05
0.550,1.013E+05
0.500,9.145E+04
0.450,8.078E+04
0.400,6.931E+04
0.350,5.743E+04
0.300,4.467E+04
0.230,2.716E+04
0.200,2.025E+04
0.180,1.600E+04
0.160,1.213E+04
0.140,8.782E+03
0.120,5.761E+03
0.110,4.486E+03
0.100,3.457E+03
0.080,1.741E+03
0.260,3.452E+04
1.600,1.729E+05
1.800,1.738E+05
1.400,1.682E+05
1.200,1.634E+05
1.100,1.595E+05
1.000,1.542E+05
2.000,1.731E+05
2.300,1.701E+05
2.600,1.656E+05
3.000,1.585E+05
3.500,1.488E+05
4.000,1.390E+05
4.500,1.297E+05
5.000,1.209E+05
5.500,1.127E+05
6.000,1.049E+05
7.000,9.175E+04
8.000,8.054E+04
