X,Y
700.0,21.4
722.8,21.8
734.5,21.8
742.0,20.0
750.0,21.7
758.7,19.3
766.6,19.5
776.7,17.8
784.0,17.2
793.6,16.7
800.0,16.0
802.5,16.4
808.6,16.8
815.6,17.1
822.2,17.7
829.7,18.0
833.7,17.6
836.5,18.6
844.2,18.8
848.8,18.3
851.1,19.8
852.6,18.6
855.2,18.8
857.5,19.8
859.2,19.7
861.0,17.8
862.5,19.1
865.0,19.7
866.8,19.8
867.9,19.9
870.2,20.5
872.4,20.6
874.1,20.5
877.7,20.5
879.0,21.7
883.3,20.5
885.8,22.6
887.4,20.8
891.4,21.6
893.0,23.7
894.4,22.8
900.3,24.2
903.0,21.7
905.0,19.1
908.1,24.0
909.0,24.2
910.0,23.2
911.5,21.1
915.5,22.5
916.7,25.7
917.5,24.1
918.6,22.9
923.8,22.5
925.3,23.7
926.2,25.4
927.4,23.4
930.0,19.3
932.4,24.0
933.8,24.3
934.8,23.5
936.3,22.0
941.2,22.9
942.6,24.1
943.4,21.8
945.3,20.6
948.0,20.0
949.4,20.6
951.1,20.2
952.1,20.2
958.2,18.6
959.8,19.4
960.8,17.7
963.3,17.8
965.4,16.7
967.3,17.6
968.4,17.7
970.0,13.8
972.5,15.1
973.6,15.0
977.2,15.1
978.0,15.1
980.8,16.7
