X,Y
24.587,7.40
25,7.21
26,6.79
27,6.40
28,6.05
29,5.70
30,5.38
31,5.10
32,4.82
33,4.57
34,4.32
35,4.09
36,3.88
37,3.68
38,3.50
39,3.32
40,3.16
41,3.01
42,2.86
43,2.72
44,2.60
45,2.48
46,2.38
47,2.28
48,2.19
49,2.10
50,2.02
51,1.94
52,1.85
53,1.77
54,1.71
55,1.67
56,1.63
57,1.61
58,1.58
59,1.56
60.19,0.55
62.87,1.22
64.31,1.17
64.74,1.10
65.20,1.20
65.40,1.19
66,1.15
67,1.10
68,1.06
69,1.02
70,0.975
71,0.940
72,0.907
73,0.873
74,0.842
75,0.813
76,0.788
77,0.762
78,0.738
79,0.715
80,0.693
81,0.672
82,0.652
83,0.633
84,0.614
85,0.595
86,0.578
87,0.561
88,0.546
89,0.531
90,0.516
91,0.502
92,0.488
93,0.475
94,0.464
95,0.450
96,0.438
97,0.427
98,0.416
99,0.405
100,0.393
101,0.383
102,0.373
103,0.363
104,0.355
105,0.345
106,0.338
107,0.328
108,0.322
109,0.313
110,0.306
111,0.300
112,0.292
113,0.286
114,0.279
115,0.273
116,0.266
117,0.261
118,0.255
119,0.250
120,0.244
125,0.218
130,0.196
135,0.177
140,0.160
145,0.144
150,0.131
155,0.118
160,0.108
165,0.0980
170,0.0894
175,0.0826
180,0.0760
185,0.0700
190,0.0643
195,0.0593
200,0.0550
205,0.0510
210,0.0474
215,0.0440
220,0.0409
225,0.0382
230,0.0356
235,0.0335
240,0.0315
245,0.0295
250,0.0277
255,0.0261
260,0.0245
265,0.0231
270,0.0218
275,0.0206
280,0.0194
300,15500E-6
350,9650E-6
400,6370E-6
450,4360E-6
500,3130E-6
550,2320E-6
600,1770E-6
650,1370E-6
700,1060E-6
750,863E-6
800,700E-6
850,572E-6
900,478E-6
1000,339E-6
1100,252E-6
1200,189E-6
1300,144E-6
1400,112E-6
1500,90.0E-6
1600,73.0E-6
1700,60.3E-6
1800,49.4E-6
2000,34.8E-6
2200,25.3E-6
2400,19.0E-6
2600,14.2E-6
2800,11.0E-6
3000,8.77E-6
3200,7.00E-6
3400,5.66E-6
3600,4.63E-6
3800,3.83E-6
4000,3.20E-6
5000,1.47E-6
6000,0.77E-6
7000,0.45E-6
8000,0.28E-6
