X,Y
0.01,7.80E+02
0.00,7.81E+02
0.80,1.49E+02
0.70,1.79E+02
0.60,2.17E+02
0.50,2.67E+02
0.40,3.35E+02
0.20,5.51E+02
0.10,6.87E+02
0.06,7.40E+02
0.04,7.60E+02
0.02,7.75E+02
0.30,4.29E+02
1.00,1.07E+02
1.20,7.90E+01
1.50,5.08E+01
1.70,3.73E+01
2.00,2.38E+01
2.50,1.39E+01
3.00,1.13E+01
3.50,9.88E+00
4.00,7.22E+00
5.00,2.34E+00
6.00,9.73E-01
7.00,8.23E-01
8.00,9.93E-01
9.00,1.06E+00
10.00,8.09E-01
12.50,1.64E-01
15.00,4.73E-01
17.50,3.29E-02
20.00,3.56E-02
22.50,3.86E-02
25.00,3.44E-02
27.50,2.46E-02
30.00,1.50E-02
35.00,4.79E-03
40.00,1.80E-03
45.00,9.08E-04
50.00,5.71E-04
55.00,4.30E-04
60.00,3.77E-04
65.00,3.53E-04
70.00,3.46E-04
75.00,3.43E-04
80.00,3.38E-04
85.00,3.30E-04
90.00,3.22E-04
95.00,3.13E-04
105.00,2.98E-04
120.00,2.84E-04
135.00,2.76E-04
150.00,2.74E-04
165.00,2.76E-04
180.00,2.78E-04
