id_number,B201868453
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Reaction
sub_process,State Selectivity
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Experimental Data
reaction_formula,N1+ + N2O
reference_number,2018000288
author,A B Rakshit### H M P Stock. D P Wareing and N D Twiddy
title_of_record,Some ion-molecule reaction rate coefficient measurements at 300 and 100 K in a temperature-variable flowing-afterglow apparatus
journal_name,J. Phys. B: At. Mol. Opt. Phys.
volume_and_issue_No,11
page_number,4237
date_of_publication,1978
