X,Y
1.0000E+0,6.09E-21
1.0000E-03,1.36E-18
1.3895E-03,1.25E-18
1.9307E-03,1.12E-18
1.9307E-01,4.03E-20
1.3895E-01,4.74E-20
1.0000E-01,4.94E-20
1.0000E-02,2.05E-19
1.3895E-02,8.54E-20
1.9307E-02,1.95E-20
1.0000E-05,1.69E-18
2.6827E-02,4.87E-23
2.6827E-01,3.16E-20
2.6827E-03,9.51E-19
3.7276E-02,9.38E-21
3.7276E-03,7.64E-19
3.7276E-01,2.31E-20
5.1795E-02,2.82E-20
5.1795E-03,5.64E-19
5.1795E-01,1.58E-20
7.1969E-02,4.33E-20
7.1969E-03,3.71E-19
7.1969E-01,1.02E-20
7.1969E-04,1.45E-18
