id_number,B201871587
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Detachment
sub_process,Detachment
collision_type,Photon Impact
Theory_Experiment_Recommendation,Recommended Data
reaction_formula,e + SF6
reference_number,2018000474
author,Loucas G. Christophorou### James K. Olthoff
title_of_record,Synthesis and Assessment of Electron Collision Data
journal_name,Fundamental Electron Interactions with Plasma Processing Gases
volume_and_issue_No,1
page_number,113
date_of_publication,2004
