X,Y
0.120,3.252E+00
0.100,1.476E+00
0.900,2.583E+03
0.800,1.968E+03
0.750,1.682E+03
0.700,1.415E+03
0.600,9.406E+02
0.500,5.598E+02
0.480,4.958E+02
0.460,4.361E+02
0.440,3.806E+02
0.420,3.293E+02
0.400,2.823E+02
0.380,2.394E+02
0.340,1.662E+02
0.360,2.008E+02
0.140,6.174E+00
0.160,1.057E+01
0.180,1.676E+01
0.200,2.509E+01
0.220,3.584E+01
0.240,4.933E+01
0.260,6.581E+01
0.280,8.553E+01
0.300,1.087E+02
0.320,1.355E+02
1.900,9.572E+03
1.100,3.938E+03
1.800,8.912E+03
1.700,8.232E+03
1.600,7.535E+03
1.500,6.824E+03
1.400,6.103E+03
1.300,5.377E+03
1.200,4.653E+03
1.000,3.244E+03
2.900,1.497E+04
2.800,1.453E+04
2.700,1.406E+04
2.600,1.358E+04
2.500,1.308E+04
2.300,1.200E+04
2.400,1.255E+04
2.000,1.021E+04
2.200,1.143E+04
2.100,1.083E+04
3.700,1.782E+04
3.900,1.838E+04
3.800,1.811E+04
3.600,1.753E+04
3.500,1.721E+04
3.400,1.688E+04
3.300,1.654E+04
3.200,1.617E+04
3.100,1.579E+04
3.000,1.539E+04
4.000,1.863E+04
4.200,1.910E+04
4.400,1.952E+04
4.600,1.990E+04
4.800,2.024E+04
5.800,2.143E+04
5.600,2.125E+04
5.200,2.081E+04
5.000,2.054E+04
5.400,2.105E+04
6.000,2.159E+04
6.200,2.173E+04
6.400,2.184E+04
6.600,2.194E+04
6.800,2.202E+04
7.800,2.222E+04
7.600,2.220E+04
7.400,2.217E+04
7.200,2.214E+04
7.000,2.209E+04
8.000,2.222E+04
8.200,2.222E+04
8.400,2.220E+04
8.600,2.218E+04
8.800,2.215E+04
9.000,2.212E+04
9.200,2.208E+04
9.400,2.203E+04
9.600,2.198E+04
9.800,2.193E+04
10.000,2.187E+04
