X,Y
0.140,1.288E-09
0.120,1.182E-11
0.900,8.341E-01
0.800,5.172E-01
0.750,3.900E-01
0.700,2.835E-01
0.600,1.297E-01
0.500,4.454E-02
0.480,3.421E-02
0.460,2.570E-02
0.440,1.883E-02
0.420,1.341E-02
0.400,9.230E-03
0.360,3.868E-03
0.380,6.114E-03
0.160,3.577E-08
0.180,4.255E-07
0.200,2.891E-06
0.220,1.332E-05
0.240,4.637E-05
0.260,1.311E-04
0.280,3.162E-04
0.300,6.737E-04
0.320,1.300E-03
0.340,2.317E-03
1.900,6.650E+00
1.100,1.702E+00
1.800,6.029E+00
1.700,5.388E+00
1.600,4.736E+00
1.500,4.082E+00
1.400,3.439E+00
1.300,2.819E+00
1.200,2.236E+00
1.000,1.232E+00
2.900,1.101E+01
2.800,1.072E+01
2.700,1.040E+01
2.600,1.005E+01
2.500,9.678E+00
2.300,8.818E+00
2.400,9.266E+00
2.000,7.244E+00
2.200,8.330E+00
2.100,7.805E+00
3.700,1.351E+01
3.900,1.447E+01
3.800,1.396E+01
3.600,1.311E+01
3.500,1.275E+01
3.400,1.243E+01
3.300,1.213E+01
3.200,1.185E+01
3.100,1.157E+01
3.000,1.130E+01
4.000,1.505E+01
4.200,1.645E+01
4.400,1.822E+01
4.600,2.043E+01
4.800,2.314E+01
5.800,4.561E+01
5.600,3.980E+01
5.200,3.022E+01
5.000,2.638E+01
5.400,3.468E+01
6.000,5.212E+01
6.200,5.937E+01
6.400,6.735E+01
6.600,7.607E+01
6.800,8.554E+01
7.800,1.440E+02
7.600,1.308E+02
7.400,1.184E+02
7.200,1.067E+02
7.000,9.576E+01
8.000,1.578E+02
8.200,1.723E+02
8.400,1.875E+02
8.600,2.033E+02
8.800,2.198E+02
9.000,2.368E+02
9.200,2.545E+02
9.400,2.726E+02
9.600,2.914E+02
9.800,3.106E+02
10.000,3.303E+02
