X,Y
0.120,8.225E+00
0.100,3.823E+00
0.900,5.037E+03
0.800,3.925E+03
0.750,3.397E+03
0.700,2.893E+03
0.600,1.976E+03
0.500,1.211E+03
0.480,1.079E+03
0.460,9.548E+02
0.440,8.385E+02
0.420,7.302E+02
0.400,6.300E+02
0.380,5.379E+02
0.340,3.783E+02
0.360,4.540E+02
0.140,1.535E+01
0.160,2.592E+01
0.180,4.065E+01
0.200,6.024E+01
0.220,8.531E+01
0.240,1.164E+02
0.260,1.540E+02
0.280,1.988E+02
0.300,2.508E+02
0.320,3.106E+02
1.900,1.616E+04
1.100,7.301E+03
1.800,1.520E+04
1.700,1.419E+04
1.600,1.313E+04
1.500,1.204E+04
1.400,1.091E+04
1.300,9.755E+03
1.200,8.575E+03
1.000,6.198E+03
2.900,2.353E+04
2.800,2.296E+04
2.700,2.236E+04
2.600,2.173E+04
2.500,2.105E+04
2.300,1.959E+04
2.400,2.034E+04
2.000,1.709E+04
2.200,1.880E+04
2.100,1.796E+04
3.700,2.701E+04
3.900,2.764E+04
3.800,2.733E+04
3.600,2.666E+04
3.500,2.629E+04
3.400,2.590E+04
3.300,2.548E+04
3.200,2.504E+04
3.100,2.456E+04
3.000,2.406E+04
4.000,2.792E+04
4.200,2.844E+04
4.400,2.888E+04
4.600,2.927E+04
4.800,2.960E+04
5.800,3.062E+04
5.600,3.049E+04
5.200,3.012E+04
5.000,2.989E+04
5.400,3.032E+04
6.000,3.072E+04
6.200,3.079E+04
6.400,3.084E+04
6.600,3.087E+04
6.800,3.088E+04
7.800,3.070E+04
7.600,3.076E+04
7.400,3.081E+04
7.200,3.085E+04
7.000,3.088E+04
8.000,3.063E+04
8.200,3.054E+04
8.400,3.045E+04
8.600,3.035E+04
8.800,3.025E+04
9.000,3.014E+04
9.200,3.002E+04
9.400,2.989E+04
9.600,2.977E+04
9.800,2.964E+04
10.000,2.950E+04
