X,Y
0.120,1.637E+02
0.100,8.352E+01
0.900,1.257E+04
0.800,1.092E+04
0.750,1.005E+04
0.700,9.159E+03
0.600,7.328E+03
0.500,5.471E+03
0.480,5.103E+03
0.460,4.738E+03
0.440,4.377E+03
0.420,4.020E+03
0.400,3.669E+03
0.380,3.325E+03
0.340,2.663E+03
0.360,2.989E+03
0.140,2.740E+02
0.160,4.136E+02
0.180,5.807E+02
0.200,7.731E+02
0.220,9.888E+02
0.240,1.226E+03
0.260,1.482E+03
0.280,1.755E+03
0.300,2.044E+03
0.320,2.347E+03
1.900,2.326E+04
1.100,1.554E+04
1.800,2.260E+04
1.700,2.185E+04
1.600,2.104E+04
1.500,2.013E+04
1.400,1.914E+04
1.300,1.805E+04
1.200,1.685E+04
1.000,1.411E+04
2.900,2.712E+04
2.800,2.691E+04
2.700,2.666E+04
2.600,2.639E+04
2.500,2.608E+04
2.300,2.534E+04
2.400,2.573E+04
2.000,2.387E+04
2.200,2.490E+04
2.100,2.441E+04
3.700,2.800E+04
3.900,2.805E+04
3.800,2.803E+04
3.600,2.796E+04
3.500,2.789E+04
3.400,2.782E+04
3.300,2.772E+04
3.200,2.760E+04
3.100,2.747E+04
3.000,2.731E+04
4.000,2.806E+04
4.200,2.805E+04
4.400,2.799E+04
4.600,2.791E+04
4.800,2.780E+04
5.800,2.698E+04
5.600,2.717E+04
5.200,2.752E+04
5.000,2.767E+04
5.400,2.735E+04
6.000,2.678E+04
6.200,2.658E+04
6.400,2.637E+04
6.600,2.615E+04
6.800,2.593E+04
7.800,2.481E+04
7.600,2.503E+04
7.400,2.526E+04
7.200,2.548E+04
7.000,2.571E+04
8.000,2.458E+04
8.200,2.436E+04
8.400,2.413E+04
8.600,2.391E+04
8.800,2.369E+04
9.000,2.348E+04
9.200,2.326E+04
9.400,2.305E+04
9.600,2.284E+04
9.800,2.263E+04
10.000,2.242E+04
