X,Y
0.035,3.217E-03
0.900,1.891E+03
0.800,1.499E+03
0.700,1.133E+03
0.600,7.893E+02
0.550,6.356E+02
0.500,4.971E+02
0.450,3.738E+02
0.400,2.665E+02
0.350,1.794E+02
0.300,1.110E+02
0.260,6.963E+01
0.230,4.602E+01
0.200,2.798E+01
0.180,1.904E+01
0.140,7.208E+00
0.160,1.218E+01
0.030,7.378E-04
0.040,9.719E-03
0.045,2.313E-02
0.050,4.686E-02
0.055,8.464E-02
0.060,1.404E-01
0.070,3.241E-01
0.080,6.339E-01
0.090,1.102E+00
0.100,1.755E+00
0.110,2.653E+00
0.120,3.827E+00
1.800,5.299E+03
1.600,4.631E+03
1.400,3.899E+03
1.100,2.699E+03
1.000,2.294E+03
1.200,3.098E+03
2.000,5.922E+03
2.300,6.746E+03
2.600,7.440E+03
3.000,8.186E+03
3.500,8.865E+03
4.000,9.331E+03
4.500,9.635E+03
5.500,9.932E+03
5.000,9.814E+03
6.000,9.946E+03
7.000,9.826E+03
8.000,9.517E+03
9.000,9.148E+03
10.000,8.740E+03
11.000,8.318E+03
12.000,7.896E+03
14.000,7.085E+03
16.000,6.342E+03
18.000,5.673E+03
