id_number,B201868193
categorize,Collision Processes
collision_data_categorize,Cross Section
collision_process,Detachment
sub_process,Detachment
collision_type,Heavy Particle Impact
Theory_Experiment_Recommendation,Theoretical Data
reaction_formula,H1- + He -> H(1s1) + He + e
reference_number,2018000253
author,K L Bell### A E Kingston and P J Madden
title_of_record,One-electron detachment from H- in collisions with atomic hydrogen and helium
journal_name,J. Phys. B: At. Mol. Opt. Phys.
volume_and_issue_No,11
page_number,3357
date_of_publication,1978
