X,Y
1.1,0.103E-16
1.2,0.163E-16
1.3,0.194E-16
1.4,0.169E-16
1.5,0.981E-17
1.6,0.261E-17
1.7,0.135E-19
1.8,0.289E-17
1.9,0.789E-17
1.0,0.488E-17
2.2,0.456E-17
2.9,0.532E-17
2.8,0.765E-17
2.7,0.797E-17
2.5,0.250E-17
2.4,0.164E-18
2.3,0.841E-18
2.1,0.893E-17
2.0,0.106E-16
3.1,0.392E-18
3.9,0.398E-17
3.8,0.575E-17
3.7,0.687E-17
3.6,0.691E-17
3.4,0.366E-17
3.3,0.146E-17
3.2,0.110E-18
3.0,0.240E-17
3.5,0.573E-17
4.4,0.922E-18
4.9,0.722E-17
4.8,0.633E-17
4.7,0.510E-17
4.6,0.365E-17
4.3,0.144E-18
4.2,0.589E-19
4.1,0.764E-18
5.1,0.781E-17
5.4,0.642E-17
5.6,0.488E-17
5.8,0.341E-17
