X,Y
1.0000E+0,2.17E-23
1.0000E-03,7.07E-17
1.3895E-03,6.55E-17
1.9307E-03,5.91E-17
1.9307E-01,1.86E-20
1.3895E-01,5.57E-20
1.0000E-01,1.53E-19
1.0000E-02,1.80E-17
1.3895E-02,1.16E-17
1.9307E-02,6.97E-18
1.0000E-05,8.67E-17
2.6827E-02,3.84E-18
2.6827E-01,5.74E-21
2.6827E-03,5.16E-17
3.7276E-02,1.95E-18
3.7276E-03,4.32E-17
3.7276E-01,1.61E-21
5.1795E-02,9.06E-19
5.1795E-03,3.43E-17
5.1795E-01,4.08E-22
7.1969E-02,3.88E-19
7.1969E-03,2.57E-17
7.1969E-01,9.70E-23
7.1969E-04,7.48E-17
