X,Y
0.120,4.364E+03
0.100,1.985E+03
0.900,1.438E+06
0.800,1.167E+06
0.750,1.033E+06
0.700,9.014E+05
0.600,6.503E+05
0.500,4.261E+05
0.480,3.856E+05
0.460,3.469E+05
0.440,3.099E+05
0.420,2.748E+05
0.400,2.417E+05
0.380,2.107E+05
0.340,1.550E+05
0.360,1.818E+05
0.140,8.134E+03
0.160,1.354E+04
0.180,2.078E+04
0.200,2.998E+04
0.220,4.126E+04
0.240,5.468E+04
0.260,7.025E+04
0.280,8.809E+04
0.300,1.082E+05
0.320,1.305E+05
1.900,3.580E+06
1.100,1.967E+06
1.800,3.426E+06
1.700,3.259E+06
1.600,3.079E+06
1.500,2.885E+06
1.400,2.676E+06
1.300,2.453E+06
1.200,2.216E+06
1.000,1.706E+06
2.900,4.572E+06
2.800,4.508E+06
2.700,4.438E+06
2.600,4.361E+06
2.500,4.276E+06
2.300,4.083E+06
2.400,4.184E+06
2.000,3.722E+06
2.200,3.973E+06
2.100,3.853E+06
3.700,4.901E+06
3.900,4.945E+06
3.800,4.925E+06
3.600,4.874E+06
3.500,4.844E+06
3.400,4.810E+06
3.300,4.771E+06
3.200,4.729E+06
3.100,4.682E+06
3.000,4.629E+06
4.000,4.963E+06
4.200,4.991E+06
4.400,5.011E+06
4.600,5.022E+06
4.800,5.027E+06
5.800,4.978E+06
5.600,4.995E+06
5.200,5.020E+06
5.000,5.026E+06
5.400,5.009E+06
6.000,4.958E+06
6.200,4.936E+06
6.400,4.911E+06
6.600,4.885E+06
6.800,4.857E+06
7.800,4.704E+06
7.600,4.736E+06
7.400,4.767E+06
7.200,4.798E+06
7.000,4.828E+06
8.000,4.671E+06
8.200,4.638E+06
8.400,4.605E+06
8.600,4.571E+06
8.800,4.538E+06
9.000,4.504E+06
9.200,4.471E+06
9.400,4.437E+06
9.600,4.404E+06
9.800,4.370E+06
10.000,4.337E+06
