X,Y
0.001143,1530000
0.8,14.5
0.6,17.9
0.5,21.0
0.4,26.5
0.3,38.9
0.2,81.1
0.15,156
0.1,432
0.08,784
0.06,1690
0.05,2750
0.04,4940
0.034561,1340
0.03,1920
0.015,12300
0.01,36400
0.008,65600
0.006,138000
0.005445,153000
0.005102,133000
0.005,140000
0.004782,52200
0.004,81200
0.003,167000
0.002,444000
0.0015,883000
0.001,2060000
0.02,5690
1.5,9.97
1,12.6
2,8.84
3,7.98
4,7.76
5,7.79
6,7.87
8,8.19
10,8.56
15,9.49
20,10.3
30,11.7
40,12.6
50,13.3
60,13.9
80,14.8
100,15.4
