X,Y
0.500,3.959E-06
0.550,1.152E-05
0.600,2.661E-05
0.700,9.437E-05
0.800,2.404E-04
0.900,5.004E-04
0.450,8.831E-07
1.000,9.097E-04
1.100,1.501E-03
1.200,2.313E-03
1.400,4.697E-03
1.600,8.358E-03
1.800,1.344E-02
2.600,5.019E-02
2.300,3.295E-02
2.000,2.010E-02
3.000,7.948E-02
3.500,1.270E-01
4.000,1.863E-01
4.500,2.585E-01
5.000,3.428E-01
5.500,4.396E-01
6.000,5.509E-01
7.000,8.086E-01
8.000,1.099E+00
9.000,1.417E+00
10.000,1.755E+00
11.000,2.106E+00
12.000,2.461E+00
14.000,3.165E+00
