B5+ + H(1s) --> B4+(5p) + H+
X = Energy (eV),Y = Cross section (cm2)
2.750000e+03,7.520000e-18
5.500000e+03,7.000000e-18
1.100000e+04,1.710000e-17
2.200000e+04,1.900000e-17
3.300000e+04,3.250000e-17
4.400000e+04,1.500000e-17
6.875000e+04,1.400000e-17
9.900000e+04,1.880000e-17
1.375000e+05,2.210000e-17
2.750000e+05,3.550000e-17
5.500000e+05,4.420000e-17
8.250000e+05,3.170000e-17
1.100000e+06,1.860000e-17
1.650000e+06,8.830000e-18
2.200000e+06,4.630000e-18
4.400000e+06,1.530000e-18
6.600000e+06,1.240000e-19
8.800000e+06,3.930000e-21
