B5+ + H(1s) --> B4+(6h) + H+
X = Energy (eV),Y = Cross section (cm2)
4.400000e+05,2.330000e-16
5.500000e+05,1.020000e-16
6.600000e+05,4.860000e-17
7.700000e+05,2.490000e-17
8.800000e+05,1.350000e-17
9.900000e+05,7.660000e-18
1.100000e+06,4.530000e-18
1.375000e+06,1.400000e-18
1.650000e+06,5.140000e-19
2.200000e+06,9.920000e-20
3.300000e+06,9.330000e-21
4.400000e+06,1.780000e-21
5.500000e+06,5.020000e-22
6.600000e+06,1.800000e-22
7.700000e+06,7.640000e-23
8.800000e+06,3.630000e-23
9.900000e+06,1.890000e-23
1.100000e+07,1.050000e-23
2.200000e+07,2.270000e-25
3.300000e+07,2.410000e-26
4.400000e+07,4.910000e-27
5.500000e+07,1.430000e-27
6.600000e+07,5.230000e-28
7.700000e+07,2.230000e-28
8.800000e+07,1.070000e-28
9.900000e+07,5.590000e-29
1.100000e+08,3.130000e-29
