B5+ + H(1s) --> B4+(7s) + H+
X = Energy (eV),Y = Cross section (cm2)
4.400000e+05,4.000000e-17
5.500000e+05,2.110000e-17
6.600000e+05,1.180000e-17
7.700000e+05,6.830000e-18
8.800000e+05,4.080000e-18
9.900000e+05,2.500000e-18
1.100000e+06,1.570000e-18
1.375000e+06,5.420000e-19
1.650000e+06,2.220000e-19
2.200000e+06,6.540000e-20
3.300000e+06,2.000000e-20
4.400000e+06,8.710000e-21
5.500000e+06,4.140000e-21
6.600000e+06,2.110000e-21
7.700000e+06,1.140000e-21
8.800000e+06,6.540000e-22
9.900000e+06,3.920000e-22
1.100000e+07,2.450000e-22
2.200000e+07,8.640000e-24
3.300000e+07,1.060000e-24
4.400000e+07,2.310000e-25
5.500000e+07,6.940000e-26
6.600000e+07,2.570000e-26
7.700000e+07,1.100000e-26
8.800000e+07,5.280000e-27
9.900000e+07,2.750000e-27
1.100000e+08,1.530000e-27
