B5+ + H(1s) --> B4+(7d) + H+
X = Energy (eV),Y = Cross section (cm2)
4.400000e+05,1.660000e-16
5.500000e+05,9.940000e-17
6.600000e+05,6.420000e-17
7.700000e+05,4.340000e-17
8.800000e+05,3.030000e-17
9.900000e+05,2.170000e-17
1.100000e+06,1.580000e-17
1.375000e+06,7.600000e-18
1.650000e+06,3.930000e-18
2.200000e+06,1.240000e-18
3.300000e+06,1.930000e-19
4.400000e+06,4.440000e-20
5.500000e+06,1.320000e-20
6.600000e+06,4.710000e-21
7.700000e+06,1.920000e-21
8.800000e+06,8.700000e-22
9.900000e+06,4.280000e-22
1.100000e+07,2.250000e-22
2.200000e+07,2.970000e-24
3.300000e+07,2.350000e-25
4.400000e+07,4.030000e-26
5.500000e+07,1.050000e-26
6.600000e+07,3.570000e-27
7.700000e+07,1.450000e-27
8.800000e+07,6.700000e-28
9.900000e+07,3.410000e-28
1.100000e+08,1.870000e-28
