B5+ + H(1s) --> B4+(7f) + H+
X = Energy (eV),Y = Cross section (cm2)
4.400000e+05,3.810000e-16
5.500000e+05,2.090000e-16
6.600000e+05,1.230000e-16
7.700000e+05,7.590000e-17
8.800000e+05,4.850000e-17
9.900000e+05,3.190000e-17
1.100000e+06,2.150000e-17
1.375000e+06,8.730000e-18
1.650000e+06,3.910000e-18
2.200000e+06,9.810000e-19
3.300000e+06,1.110000e-19
4.400000e+06,2.060000e-20
5.500000e+06,5.250000e-21
6.600000e+06,1.680000e-21
7.700000e+06,6.310000e-22
8.800000e+06,2.700000e-22
9.900000e+06,1.280000e-22
1.100000e+07,6.560000e-23
2.200000e+07,9.610000e-25
3.300000e+07,9.340000e-26
4.400000e+07,1.860000e-26
5.500000e+07,5.370000e-27
6.600000e+07,1.960000e-27
7.700000e+07,8.360000e-28
8.800000e+07,4.000000e-28
9.900000e+07,2.090000e-28
1.100000e+08,1.170000e-28
