Be4+ + H(1s) --> Be3+(6s) + H+
X = Energy (eV),Y = Cross section (cm2)
3.600000e+05,1.950000e-17
4.500000e+05,8.980000e-18
5.400000e+05,4.540000e-18
6.300000e+05,2.500000e-18
7.200000e+05,1.510000e-18
8.100000e+05,9.870000e-19
9.000000e+05,6.950000e-19
1.125000e+06,3.650000e-19
1.350000e+06,2.300000e-19
1.800000e+06,1.100000e-19
2.700000e+06,3.190000e-20
3.600000e+06,1.120000e-20
4.500000e+06,4.600000e-21
5.400000e+06,2.110000e-21
6.300000e+06,1.060000e-21
7.200000e+06,5.750000e-22
8.100000e+06,3.300000e-22
9.000000e+06,1.990000e-22
1.800000e+07,6.020000e-24
2.700000e+07,7.020000e-25
3.600000e+07,1.480000e-25
4.500000e+07,4.360000e-26
5.400000e+07,1.590000e-26
6.300000e+07,6.770000e-27
7.200000e+07,3.210000e-27
8.100000e+07,1.660000e-27
9.000000e+07,9.200000e-28
