Be4+ + H(1s) --> Be3+(7d) + H+
X = Energy (eV),Y = Cross section (cm2)
3.600000e+05,1.620000e-16
4.500000e+05,8.810000e-17
5.400000e+05,5.150000e-17
6.300000e+05,3.180000e-17
7.200000e+05,2.040000e-17
8.100000e+05,1.350000e-17
9.000000e+05,9.210000e-18
1.125000e+06,3.870000e-18
1.350000e+06,1.800000e-18
1.800000e+06,4.870000e-19
2.700000e+06,6.330000e-20
3.600000e+06,1.320000e-20
4.500000e+06,3.680000e-21
5.400000e+06,1.260000e-21
6.300000e+06,4.970000e-22
7.200000e+06,2.200000e-22
8.100000e+06,1.070000e-22
9.000000e+06,5.560000e-23
1.800000e+07,7.460000e-25
2.700000e+07,6.310000e-26
3.600000e+07,1.140000e-26
4.500000e+07,3.110000e-27
5.400000e+07,1.090000e-27
6.300000e+07,4.530000e-28
7.200000e+07,2.130000e-28
8.100000e+07,1.100000e-28
9.000000e+07,6.070000e-29
