Be4+ + H(1s) --> Be3+(7f) + H+
X = Energy (eV),Y = Cross section (cm2)
3.600000e+05,1.770000e-16
4.500000e+05,9.200000e-17
5.400000e+05,5.080000e-17
6.300000e+05,2.950000e-17
7.200000e+05,1.780000e-17
8.100000e+05,1.110000e-17
9.000000e+05,7.180000e-18
1.125000e+06,2.650000e-18
1.350000e+06,1.100000e-18
1.800000e+06,2.470000e-19
2.700000e+06,2.480000e-20
3.600000e+06,4.380000e-21
4.500000e+06,1.100000e-21
5.400000e+06,3.550000e-22
6.300000e+06,1.370000e-22
7.200000e+06,6.000000e-23
8.100000e+06,2.920000e-23
9.000000e+06,1.550000e-23
1.800000e+07,2.760000e-25
2.700000e+07,2.860000e-26
3.600000e+07,5.810000e-27
4.500000e+07,1.700000e-27
5.400000e+07,6.210000e-28
6.300000e+07,2.660000e-28
7.200000e+07,1.280000e-28
8.100000e+07,6.670000e-29
9.000000e+07,3.740000e-29
