C4+ + H --> C3+(1s23p) + H+
X = Energy (eV),Y = Cross section (cm2)
5.760000e+02,2.690000e-15
7.200000e+02,2.670000e-15
9.600000e+02,2.410000e-15
1.200000e+03,2.400000e-15
1.560000e+03,2.220000e-15
1.920000e+03,2.420000e-15
2.400000e+03,2.500000e-15
2.796000e+03,2.980000e-15
3.000000e+03,2.350000e-15
3.600000e+03,3.060000e-15
4.200000e+03,2.460000e-15
4.800000e+03,2.640000e-15
5.604000e+03,2.410000e-15
6.000000e+03,2.230000e-15
6.240000e+03,2.090000e-15
6.996000e+03,1.610000e-15
8.400000e+03,1.750000e-15
9.840000e+03,1.730000e-15
1.260000e+04,1.310000e-15
1.599600e+04,1.270000e-15
