C4+ + H --> C3+(1s23d) + H+
X = Energy (eV),Y = Cross section (cm2)
5.760000e+02,7.000000e-17
7.200000e+02,1.300000e-16
9.600000e+02,1.100000e-16
1.200000e+03,1.100000e-16
1.560000e+03,1.300000e-16
1.920000e+03,3.000000e-16
2.400000e+03,3.400000e-16
2.796000e+03,5.800000e-16
3.000000e+03,5.400000e-16
3.600000e+03,7.500100e-16
4.200000e+03,8.200100e-16
4.800000e+03,8.900100e-16
5.604000e+03,1.000000e-15
6.000000e+03,9.200100e-16
6.240000e+03,9.900100e-16
6.996000e+03,7.700100e-16
8.400000e+03,1.040000e-15
9.840000e+03,9.600100e-16
1.260000e+04,8.600100e-16
1.599600e+04,8.000100e-16
