C3+ + H --> C2+(2s3s 3Se) + H+
X = Energy (eV),Y = Cross section (cm2)
1.200000e+03,3.180000e-16
1.728000e+03,3.140000e-16
2.412000e+03,3.160000e-16
3.564000e+03,3.180000e-16
5.328000e+03,3.350000e-16
8.172000e+03,3.500000e-16
1.236000e+04,3.810000e-16
1.812000e+04,4.060000e-16
2.580000e+04,4.160000e-16
3.540000e+04,4.220000e-16
4.680000e+04,4.160000e-16
5.820000e+04,3.880000e-16
7.116000e+04,3.550000e-16
8.544000e+04,3.100000e-16
9.996000e+04,2.680000e-16
1.168800e+05,2.240000e-16
