C+(2P) + H --> C(1D) + H+
X = Energy (eV),Y = Cross section (cm2)
9.811200e+01,8.696000e-23
1.045680e+02,1.363000e-22
1.110240e+02,1.730000e-22
1.174800e+02,1.830000e-22
1.239600e+02,2.123000e-22
1.304400e+02,2.536000e-22
1.368000e+02,3.291000e-22
1.432800e+02,4.532000e-22
1.497600e+02,6.245000e-22
1.562400e+02,6.210000e-22
1.626000e+02,8.818000e-22
1.690800e+02,1.101000e-21
1.755600e+02,1.234000e-21
2.401200e+02,6.196000e-21
3.046800e+02,1.023000e-20
3.691200e+02,1.050000e-20
4.336800e+02,1.269000e-20
4.982400e+02,1.648000e-20
5.628000e+02,1.702000e-20
6.272400e+02,2.290000e-20
6.918000e+02,2.736000e-20
8.209200e+02,5.705000e-20
9.499200e+02,9.356000e-20
1.079040e+03,2.658000e-19
1.208400e+03,6.161000e-19
1.336800e+03,8.784000e-19
1.982400e+03,1.198000e-18
2.628000e+03,1.414000e-18
3.273600e+02,2.067000e-18
3.918000e+03,4.156000e-18
4.563600e+03,5.635000e-18
5.209200e+03,7.315000e-18
5.854800e+03,9.725000e-18
6.500400e+03,1.281000e-17
7.790400e+03,2.233000e-17
9.081600e+03,3.968000e-17
1.037160e+04,5.938000e-17
1.166280e+04,7.463000e-17
1.294800e+04,8.526000e-17
