C+(2P) + H --> C(Total) + H+
X = Energy (eV),Y = Cross section (cm2)
7.743600e+01,2.446000e-23
9.034800e+01,5.407000e-23
1.032600e+02,6.572000e-23
1.161600e+02,1.242000e-22
1.291200e+02,1.980000e-22
1.935600e+02,5.711000e-22
2.581200e+02,6.806000e-22
3.226800e+02,8.828000e-22
3.872400e+02,1.675000e-21
4.518000e+02,2.896000e-21
5.162400e+02,6.105000e-21
5.808000e+02,9.406000e-21
6.453600e+02,1.182000e-20
7.743600e+02,2.142000e-20
9.034800e+02,3.496000e-20
1.032600e+03,4.838000e-20
1.161600e+03,8.772000e-20
1.291200e+03,1.347000e-19
1.935600e+03,9.733000e-19
2.581200e+03,2.203000e-18
3.226800e+03,4.173000e-18
3.872400e+03,7.987000e-18
4.518000e+03,9.907000e-18
5.162400e+03,1.252000e-17
5.808000e+03,1.666000e-17
6.453600e+03,2.056000e-17
7.743600e+03,2.843000e-17
9.034800e+03,3.640000e-17
1.032600e+04,4.048000e-17
1.161600e+04,4.231000e-17
1.291200e+04,4.482000e-17
