H+ + H --> H(2p) + H+
X = Energy (eV),Y = Cross section (cm2)
3.000000e+03,2.490000e-17
6.000000e+03,2.450000e-17
7.000000e+03,2.480000e-17
8.000000e+03,2.410000e-17
9.000000e+03,2.640000e-17
1.000000e+04,2.640000e-17
1.100000e+04,2.930000e-17
1.200000e+04,2.830000e-17
1.300000e+04,2.710000e-17
1.400000e+04,2.690000e-17
1.500000e+04,2.450000e-17
1.600000e+04,2.100000e-17
1.700000e+04,1.960000e-17
1.800000e+04,1.930000e-17
1.900000e+04,1.760000e-17
2.000000e+04,1.870000e-17
2.200000e+04,1.680000e-17
2.300000e+04,1.450000e-17
2.500000e+04,1.220000e-17
2.700000e+04,1.480000e-17
2.900000e+04,1.010000e-17
