H+ + H(1s) --> H(2s) + H+
X = Energy (eV),Y = Cross section (cm2)
4.000000e+04,2.810000e-17
5.000000e+04,1.440000e-17
6.000000e+04,8.000000e-18
7.000000e+04,4.710000e-18
8.000000e+04,2.910000e-18
9.000000e+04,1.870000e-18
1.000000e+05,1.240000e-18
1.250000e+05,5.050000e-19
1.500000e+05,2.330000e-19
2.000000e+05,6.430000e-20
3.000000e+05,9.380000e-21
4.000000e+05,2.240000e-21
5.000000e+05,7.130000e-22
6.000000e+05,2.750000e-22
7.000000e+05,1.220000e-22
8.000000e+05,5.960000e-23
9.000000e+05,3.160000e-23
1.000000e+06,1.790000e-23
2.000000e+06,3.890000e-25
3.000000e+06,3.980000e-26
4.000000e+06,7.800000e-27
5.000000e+06,2.190000e-27
6.000000e+06,7.730000e-28
7.000000e+06,3.200000e-28
8.000000e+06,1.490000e-28
9.000000e+06,7.590000e-29
1.000000e+07,4.140000e-29
