H+ + H(1s) --> H(5d) + H+
X = Energy (eV),Y = Cross section (cm2)
4.000000e+04,3.300000e-19
5.000000e+04,1.460000e-19
6.000000e+04,7.180000e-20
7.000000e+04,3.790000e-20
8.000000e+04,2.120000e-20
9.000000e+04,1.240000e-20
1.000000e+05,7.580000e-21
1.250000e+05,2.540000e-21
1.500000e+05,1.000000e-21
2.000000e+05,2.160000e-22
3.000000e+05,2.310000e-23
4.000000e+05,4.600000e-24
5.000000e+05,1.310000e-24
6.000000e+05,4.730000e-25
7.000000e+05,2.000000e-25
8.000000e+05,9.550000e-26
9.000000e+05,4.980000e-26
1.000000e+06,2.790000e-26
2.000000e+06,5.960000e-28
3.000000e+06,6.400000e-29
4.000000e+06,1.320000e-29
5.000000e+06,3.860000e-30
6.000000e+06,1.420000e-30
7.000000e+06,6.070000e-31
8.000000e+06,2.910000e-31
9.000000e+06,1.520000e-31
1.000000e+07,8.540000e-32
