H+ + H(1s) --> H(5f) + H+
X = Energy (eV),Y = Cross section (cm2)
4.000000e+04,1.200000e-19
5.000000e+04,4.690000e-20
6.000000e+04,2.100000e-20
7.000000e+04,1.040000e-20
8.000000e+04,5.530000e-21
9.000000e+04,3.140000e-21
1.000000e+05,1.880000e-21
1.250000e+05,6.150000e-22
1.500000e+05,2.420000e-22
2.000000e+05,5.410000e-23
3.000000e+05,6.300000e-24
4.000000e+05,1.350000e-24
5.000000e+05,4.060000e-25
6.000000e+05,1.520000e-25
7.000000e+05,6.580000e-26
8.000000e+05,3.180000e-26
9.000000e+05,1.670000e-26
1.000000e+06,9.390000e-27
2.000000e+06,2.120000e-28
3.000000e+06,2.300000e-29
4.000000e+06,4.750000e-30
5.000000e+06,1.390000e-30
6.000000e+06,5.130000e-31
7.000000e+06,2.200000e-31
8.000000e+06,1.060000e-31
9.000000e+06,5.530000e-32
1.000000e+07,3.100000e-32
