H+ + H --> H(total) + H+
X = Energy (eV),Y = Cross section (cm2)
2.500000e+04,7.390000e-16
3.500000e+04,3.030000e-16
5.000000e+04,1.050000e-16
7.500000e+00,2.700000e-17
1.000000e+05,9.300000e-18
1.250000e+00,3.840000e-18
1.500000e+05,1.800000e-18
2.000000e+05,5.120000e-19
2.500000e+05,1.840000e-19
3.000000e+05,7.790000e-20
4.000000e+05,1.900000e-20
5.000000e+05,6.190000e-21
6.000000e+05,2.420000e-21
7.500000e+05,7.520000e-22
8.500000e+05,3.870000e-22
1.000000e+06,1.620000e-22
1.250000e+06,4.820000e-23
1.500000e+06,1.780000e-23
2.000000e+06,3.610000e-24
2.500000e+06,1.040000e-24
3.500000e+06,1.560000e-25
5.000000e+06,2.060000e-26
7.500000e+06,2.040000e-27
1.000000e+07,3.920000e-28
