H+(4p) + Li --> Li+
X = Energy (eV),Y = Cross section (cm2)
1.000000e+03,9.635000e-14
1.155000e+03,9.188000e-14
1.334000e+03,8.688000e-14
1.540000e+03,8.147000e-14
1.778000e+03,7.578000e-14
2.054000e+03,6.997000e-14
2.371000e+03,6.415000e-14
2.738000e+03,5.844000e-14
3.162000e+03,5.292000e-14
3.652000e+03,4.768000e-14
4.217000e+03,4.275000e-14
4.870000e+03,3.818000e-14
5.623000e+03,3.396000e-14
6.494000e+03,3.012000e-14
7.499000e+03,2.663000e-14
8.660000e+03,2.349000e-14
1.000000e+04,2.067000e-14
1.155000e+04,1.816000e-14
1.334000e+04,1.593000e-14
1.540000e+04,1.395000e-14
1.778000e+04,1.221000e-14
2.054000e+04,1.067000e-14
2.371000e+04,9.319000e-15
2.738000e+04,8.135000e-15
3.162000e+04,7.099000e-15
3.652000e+04,6.193000e-15
4.217000e+04,5.402000e-15
4.870000e+04,4.712000e-15
5.623000e+04,4.111000e-15
6.494000e+04,3.587000e-15
7.499000e+04,3.132000e-15
8.660000e+04,2.736000e-15
1.000000e+05,2.391000e-15
1.155000e+05,2.092000e-15
1.334000e+05,1.832000e-15
1.540000e+05,1.606000e-15
1.778000e+05,1.410000e-15
2.054000e+05,1.239000e-15
2.371000e+05,1.091000e-15
2.738000e+05,9.624000e-16
3.162000e+05,8.504000e-16
3.652000e+05,7.530000e-16
4.217000e+05,6.680000e-16
4.870000e+05,5.940000e-16
5.623000e+05,5.293000e-16
6.494000e+05,4.726000e-16
7.499000e+05,4.230000e-16
8.660000e+05,3.793000e-16
1.000000e+06,3.409000e-16
