H+(4d) + Li --> Li+
X = Energy (eV),Y = Cross section (cm2)
1.000000e+03,9.450000e-14
1.155000e+03,9.138000e-14
1.334000e+03,8.764000e-14
1.540000e+03,8.334000e-14
1.778000e+03,7.858000e-14
2.054000e+03,7.349000e-14
2.371000e+03,6.818000e-14
2.738000e+03,6.280000e-14
3.162000e+03,5.745000e-14
3.652000e+03,5.223000e-14
4.217000e+03,4.721000e-14
4.870000e+03,4.246000e-14
5.623000e+03,3.802000e-14
6.494000e+03,3.390000e-14
7.499000e+03,3.012000e-14
8.660000e+03,2.668000e-14
1.000000e+04,2.357000e-14
1.155000e+04,2.077000e-14
1.334000e+04,1.826000e-14
1.540000e+04,1.603000e-14
1.778000e+04,1.405000e-14
2.054000e+04,1.229000e-14
2.371000e+04,1.075000e-14
2.738000e+04,9.389000e-15
3.162000e+04,8.194000e-15
3.652000e+04,7.148000e-15
4.217000e+04,6.232000e-15
4.870000e+04,5.432000e-15
5.623000e+04,4.733000e-15
6.494000e+04,4.125000e-15
7.499000e+04,3.594000e-15
8.660000e+04,3.132000e-15
1.000000e+05,2.731000e-15
1.155000e+05,2.382000e-15
1.334000e+05,2.078000e-15
1.540000e+05,1.815000e-15
1.778000e+05,1.586000e-15
2.054000e+05,1.387000e-15
2.371000e+05,1.214000e-15
2.738000e+05,1.064000e-15
3.162000e+05,9.344000e-16
3.652000e+05,8.214000e-16
4.217000e+05,7.233000e-16
4.870000e+05,6.380000e-16
5.623000e+05,5.639000e-16
6.494000e+05,4.993000e-16
7.499000e+05,4.431000e-16
8.660000e+05,3.941000e-16
1.000000e+06,3.512000e-16
