H(n=1) + N7+ --> H+ + N6+
X = Energy (eV),Y = Cross section (cm2)
7.185000e+02,1.075000e-17
1.152000e+03,2.354000e-17
1.706000e+03,5.957000e-17
2.528000e+03,1.334000e-16
3.485000e+03,2.355000e-16
4.589000e+03,4.342000e-16
8.607000e+03,1.269000e-15
1.021000e+04,1.518000e-15
1.187000e+04,1.753000e-15
1.362000e+04,1.938000e-15
1.552000e+04,2.114000e-15
2.197000e+04,2.475000e-15
2.911000e+04,2.688000e-15
4.080000e+04,2.799000e-15
5.545000e+04,2.817000e-15
6.425000e+04,2.760000e-15
8.417000e+04,2.651000e-15
9.934000e+04,2.545000e-15
1.224000e+05,2.428000e-15
1.536000e+05,2.256000e-15
2.012000e+05,2.054000e-15
2.127000e+05,2.025000e-15
2.556000e+05,1.893000e-15
3.370000e+05,1.689000e-15
4.991000e+05,1.427000e-15
