H(n=2) + C6+ --> H+ + C5+
X = Energy (eV),Y = Cross section (cm2)
3.996000e+03,1.327000e-16
9.012000e+03,2.491000e-15
1.000000e+04,3.838000e-15
1.225000e+04,7.306000e-15
2.004000e+04,2.025000e-14
2.502000e+04,2.524000e-14
2.995000e+04,2.754000e-14
3.501000e+04,2.835000e-14
4.991000e+04,2.625000e-14
5.538000e+04,2.524000e-14
6.001000e+04,2.406000e-14
6.503000e+04,2.294000e-14
7.014000e+04,2.228000e-14
8.515000e+04,1.930000e-14
1.000000e+05,1.719000e-14
1.208000e+05,1.461000e-14
1.560000e+05,1.170000e-14
1.832000e+05,1.023000e-14
2.004000e+05,9.389000e-15
2.255000e+05,8.446000e-15
2.574000e+05,7.521000e-15
2.995000e+05,6.515000e-15
3.067000e+05,6.265000e-15
3.435000e+05,5.751000e-15
4.015000e+05,4.975000e-15
