H2+ + CH4 --> H2
X = Energy (eV),Y = Cross section (cm2)
1.088000e+02,3.570000e-15
1.572000e+02,3.480000e-15
2.100000e+02,3.380000e-15
2.620000e+02,3.300000e-15
2.860000e+02,3.270000e-15
3.120000e+02,3.250000e-15
3.380000e+02,3.230000e-15
3.680000e+02,3.210000e-15
3.980000e+02,3.170000e-15
4.800000e+02,3.140000e-15
5.420000e+02,3.120000e-15
6.460000e+02,3.100000e-15
7.520000e+02,3.080000e-15
8.480000e+02,3.060000e-15
9.300000e+02,3.040000e-15
1.020000e+03,3.020000e-15
1.114000e+03,3.020000e-15
1.198000e+03,3.040000e-15
1.300000e+03,3.060000e-15
1.400000e+03,3.080000e-15
