He2+ + H --> He+(2s)
X = Energy (eV),Y = Cross section (cm2)
5.320000e+03,8.200000e-17
6.680000e+03,8.400000e-17
8.000000e+03,9.600000e-17
9.320000e+03,1.110000e-16
1.068000e+04,1.090000e-16
1.200000e+04,1.200000e-16
1.332000e+04,1.270000e-16
1.600000e+04,1.470000e-16
1.868000e+04,1.550000e-16
2.132000e+04,1.590000e-16
2.400000e+04,1.580000e-16
2.668000e+04,1.650000e-16
2.932000e+04,1.580000e-16
3.200000e+04,1.570000e-16
3.468000e+04,1.580000e-16
3.732000e+04,1.660000e-16
4.000000e+04,1.580000e-16
4.492000e+04,1.630000e-16
5.000000e+04,1.650000e-16
5.492000e+04,1.610000e-16
6.000000e+04,1.630000e-16
6.492000e+04,1.590000e-16
7.000000e+04,1.560000e-16
7.748000e+04,1.480000e-16
9.000000e+04,1.490000e-16
1.033200e+05,1.240000e-16
1.166800e+05,1.120000e-16
1.300000e+05,8.800000e-17
1.446800e+05,8.100000e-17
1.573200e+05,7.200000e-17
1.693200e+05,6.100000e-17
1.813200e+05,5.500000e-17
1.933200e+05,4.800000e-17
2.200000e+05,3.500000e-17
2.320000e+05,3.300000e-17
2.480000e+05,2.700000e-17
2.600000e+05,2.400000e-17
2.720000e+05,2.000000e-17
3.000000e+05,1.700000e-17
3.213200e+05,1.400000e-17
3.420000e+05,1.100000e-17
3.700000e+05,9.000000e-18
3.806800e+05,8.700000e-18
3.893200e+05,7.600000e-18
4.052000e+05,6.800000e-18
4.360000e+05,5.100000e-18
4.572000e+05,4.500000e-18
