He2+ + H(1s) --> He+(1s) + H+
X = Energy (eV),Y = Cross section (cm2)
4.000000e+03,1.430000e-23
8.000000e+03,3.590000e-21
1.200000e+04,2.900000e-20
1.600000e+04,9.440000e-20
2.000000e+04,2.550000e-19
2.800000e+04,5.000000e-19
4.000000e+04,1.460000e-18
6.000000e+04,6.410000e-18
8.000000e+04,1.270000e-17
1.000000e+05,1.790000e-17
1.200000e+05,2.150000e-17
1.400000e+05,2.350000e-17
1.600000e+05,2.430000e-17
1.800000e+05,2.420000e-17
2.000000e+05,2.340000e-17
2.200000e+05,2.220000e-17
2.520000e+05,2.000000e-17
3.000000e+05,1.650000e-17
3.600000e+05,1.260000e-17
4.000000e+05,1.050000e-17
4.400000e+05,8.710000e-18
5.200000e+05,6.010000e-18
6.000000e+05,4.170000e-18
6.800000e+05,2.930000e-18
8.000000e+05,1.760000e-18
1.200000e+06,4.440000e-19
1.600000e+06,1.560000e-19
