He2+ + H(1s) --> He+(4p) + H+
X = Energy (eV),Y = Cross section (cm2)
4.000000e+03,2.350000e-19
8.000000e+03,2.910000e-19
1.200000e+04,4.180000e-19
1.600000e+04,1.160000e-18
2.000000e+04,2.740000e-18
2.800000e+04,5.000000e-18
4.000000e+04,6.070000e-18
6.000000e+04,1.100000e-17
8.000000e+04,1.930000e-17
1.000000e+05,2.510000e-17
1.200000e+05,2.710000e-17
1.400000e+05,2.800000e-17
1.600000e+05,2.690000e-17
1.800000e+05,2.270000e-17
2.000000e+05,1.810000e-17
2.200000e+05,1.470000e-17
2.520000e+05,1.100000e-17
3.000000e+05,6.620000e-18
3.600000e+05,3.920000e-18
4.000000e+05,2.820000e-18
4.400000e+05,1.930000e-18
5.200000e+05,8.970000e-19
6.000000e+05,4.630000e-19
6.800000e+05,2.180000e-19
8.000000e+05,1.170000e-19
1.200000e+06,1.360000e-20
1.600000e+06,3.130000e-21
