Li3+ + H(1s) --> Li2+(n=2) + H+
X = Energy (eV),Y = Cross section (cm2)
6.300000e+05,5.710000e-17
7.000000e+05,4.170000e-17
8.750000e+05,2.060000e-17
1.050000e+06,1.110000e-17
1.400000e+06,3.850000e-18
2.100000e+06,7.480000e-19
2.800000e+06,2.110000e-19
3.500000e+06,7.540000e-20
4.200000e+06,3.150000e-20
4.900000e+06,1.480000e-20
5.600000e+06,7.600000e-21
6.300000e+06,4.180000e-21
7.000000e+06,2.440000e-21
1.400000e+07,6.160000e-23
2.100000e+07,6.690000e-24
2.800000e+07,1.350000e-24
3.500000e+07,3.880000e-25
4.200000e+07,1.390000e-25
4.900000e+07,5.840000e-26
5.600000e+07,2.750000e-26
6.300000e+07,1.410000e-26
7.000000e+07,7.750000e-27
