Li3+ + H(1s) --> Li2+(4p) + H+
X = Energy (eV),Y = Cross section (cm2)
2.800000e+05,1.900000e-16
3.500000e+05,1.030000e-16
4.200000e+05,6.090000e-17
4.900000e+05,3.800000e-17
5.600000e+05,2.470000e-17
6.300000e+05,1.660000e-17
7.000000e+05,1.150000e-17
8.750000e+05,5.020000e-18
1.050000e+06,2.440000e-18
1.400000e+06,7.150000e-19
2.100000e+06,1.080000e-19
2.800000e+06,2.540000e-20
3.500000e+06,7.860000e-21
4.200000e+06,2.930000e-21
4.900000e+06,1.250000e-21
5.600000e+06,5.900000e-22
6.300000e+06,3.020000e-22
7.000000e+06,1.650000e-22
1.400000e+07,2.770000e-24
2.100000e+07,2.410000e-25
2.800000e+07,4.250000e-26
3.500000e+07,1.110000e-26
4.200000e+07,3.710000e-27
4.900000e+07,1.480000e-27
5.600000e+07,6.680000e-28
6.300000e+07,3.320000e-28
7.000000e+07,1.780000e-28
