Li3+ + H(1s) --> Li2+(5d) + H+
X = Energy (eV),Y = Cross section (cm2)
2.800000e+05,1.410000e-16
3.500000e+05,7.360000e-17
4.200000e+05,4.100000e-17
4.900000e+05,2.400000e-17
5.600000e+05,1.470000e-17
6.300000e+05,9.330000e-18
7.000000e+05,6.090000e-18
8.750000e+05,2.340000e-18
1.050000e+06,1.020000e-18
1.400000e+06,2.470000e-19
2.100000e+06,2.830000e-20
2.800000e+06,5.480000e-21
3.500000e+06,1.470000e-21
4.200000e+06,4.910000e-22
4.900000e+06,1.920000e-22
5.600000e+06,8.510000e-23
6.300000e+06,4.130000e-23
7.000000e+06,2.170000e-23
1.400000e+07,3.280000e-25
2.100000e+07,3.070000e-26
2.800000e+07,5.930000e-27
3.500000e+07,1.680000e-27
4.200000e+07,6.050000e-28
4.900000e+07,2.560000e-28
5.600000e+07,1.220000e-28
6.300000e+07,6.330000e-29
7.000000e+07,3.530000e-29
