Li2+ + H(1s) --> Li2+(2s) + H(Sum)
X = Energy (eV),Y = Cross section (cm2)
1.729000e+05,3.060000e-19
2.688000e+05,5.640000e-19
3.220000e+05,6.550000e-19
3.703000e+05,7.080000e-19
4.536000e+05,7.230000e-19
5.257000e+05,7.190000e-19
6.685000e+05,6.620000e-19
9.310000e+05,5.530000e-19
1.190000e+06,4.690000e-19
1.694000e+06,3.520000e-19
2.100000e+06,3.030000e-19
2.527000e+06,2.500000e-19
2.961000e+06,2.120000e-19
3.395000e+06,1.930000e-19
3.766000e+06,1.700000e-19
4.200000e+06,1.550000e-19
