N5+ + H(1s) --> N4+(3p) + H+
X = Energy (eV),Y = Cross section (cm2)
7.107800e+03,4.929000e-17
9.032800e+03,6.886000e-17
1.110620e+04,9.377000e-17
1.365700e+04,1.310000e-16
1.666000e+04,1.807000e-16
1.981000e+04,2.368000e-16
2.457000e+04,3.183000e-16
3.096800e+04,3.961000e-16
3.935400e+04,4.622000e-16
4.838400e+04,4.622000e-16
6.049400e+04,4.334000e-16
7.137200e+04,3.573000e-16
8.702400e+04,3.023000e-16
1.143240e+05,2.398000e-16
1.405600e+05,2.164000e-16
1.831200e+05,2.082000e-16
2.445800e+05,1.977000e-16
3.032400e+05,1.952000e-16
3.729600e+05,1.903000e-16
4.510800e+05,1.695000e-16
5.500600e+05,1.344000e-16
6.707400e+05,1.013000e-16
7.914200e+05,7.157000e-17
9.259600e+05,4.866000e-17
1.039640e+06,3.308000e-17
1.196440e+06,2.220000e-17
1.388520e+06,1.471000e-17
1.624000e+06,9.872000e-18
1.901200e+06,7.066000e-18
2.338000e+06,4.993000e-18
2.758000e+06,3.762000e-18
