Ne5+ + H(1s) --> Ne4+ + H+
X = Energy (eV),Y = Cross section (cm2)
2.000000e+05,2.570000e-15
3.040000e+05,2.470000e-15
5.080000e+05,2.320000e-15
1.018000e+06,1.880000e-15
1.414000e+06,1.400000e-15
1.624000e+06,1.090000e-15
2.020000e+06,6.340000e-16
2.400000e+06,3.920000e-16
2.760000e+06,2.230000e-16
2.940000e+06,1.740000e-16
3.140000e+06,1.300000e-16
3.640000e+06,7.530000e-17
3.840000e+06,4.850000e-17
4.300000e+06,3.260000e-17
4.920000e+06,1.820000e-17
5.320000e+06,1.150000e-17
5.960000e+06,6.810000e-18
6.940000e+06,2.500000e-18
7.860000e+06,1.130000e-18
