Ne10+ + He --> Ne8+(4l6l') + He2+
X = Energy (eV),Y = Cross section (cm2)
1.648000e+01,1.871000e-17
2.236000e+01,1.468000e-17
2.828000e+01,1.216000e-17
3.338000e+01,1.134000e-17
4.022000e+01,1.125000e-17
4.880000e+01,1.216000e-17
5.650000e+01,1.265000e-17
6.250000e+01,1.285000e-17
7.188000e+01,1.255000e-17
8.300000e+01,1.226000e-17
9.496000e+01,1.197000e-17
1.069000e+02,1.125000e-17
1.145400e+02,1.000000e-17
1.213400e+02,8.822000e-18
1.289800e+02,7.543000e-18
1.383400e+02,6.655000e-18
1.460000e+02,6.251000e-18
1.562600e+02,6.202000e-18
1.665200e+02,6.300000e-18
1.759200e+02,6.399000e-18
1.853400e+02,6.707000e-18
1.913600e+02,7.141000e-18
2.008000e+02,7.906000e-18
2.102600e+02,9.175000e-18
2.145400e+02,9.467000e-18
2.188200e+02,9.845000e-18
2.256800e+02,1.000000e-17
2.350800e+02,9.922000e-18
2.427800e+02,1.000000e-17
2.504800e+02,1.024000e-17
2.581800e+02,1.081000e-17
2.650600e+02,1.188000e-17
2.719400e+02,1.336000e-17
2.779800e+02,1.515000e-17
2.865800e+02,1.785000e-17
2.934600e+02,2.024000e-17
2.977600e+02,2.171000e-17
3.054800e+02,2.258000e-17
3.148800e+02,2.223000e-17
3.242600e+02,2.088000e-17
