O2+ + He --> O+(2s22p3 2P0) + He+
X = Energy (eV),Y = Cross section (cm2)
1.632000e+01,5.960000e-16
2.304000e+01,6.750000e-16
3.104000e+01,7.510000e-16
4.256000e+01,8.240000e-16
6.480000e+01,9.000000e-16
1.329600e+02,1.010000e-15
2.384000e+02,1.100000e-15
2.848000e+02,1.100000e-15
5.600000e+02,1.020000e-15
9.232000e+02,9.460000e-16
1.436800e+03,9.100000e-16
1.968000e+03,9.090000e-16
2.416000e+03,8.950000e-16
2.864000e+03,8.710000e-16
3.744000e+03,8.150000e-16
5.376000e+03,6.890000e-16
6.736000e+03,5.870000e-16
8.032000e+03,5.140000e-16
9.472000e+03,4.550000e-16
1.089600e+04,3.970000e-16
1.308800e+04,3.340000e-16
1.528000e+04,3.030000e-16
1.792000e+04,2.780000e-16
2.048000e+04,2.720000e-16
2.384000e+04,2.920000e-16
