O8+ + H(1s) --> O7+(10k) + H+
X = Energy (eV),Y = Cross section (cm2)
6.400000e+05,4.330000e-16
8.000000e+05,1.840000e-16
9.600000e+05,8.470000e-17
1.120000e+06,4.160000e-17
1.280000e+06,2.160000e-17
1.440000e+06,1.180000e-17
1.600000e+06,6.680000e-18
2.000000e+06,1.910000e-18
2.400000e+06,6.640000e-19
3.200000e+06,1.260000e-19
4.800000e+06,1.340000e-20
6.400000e+06,2.910000e-21
8.000000e+06,8.920000e-22
9.600000e+06,3.390000e-22
1.120000e+07,1.490000e-22
1.280000e+07,7.260000e-23
1.440000e+07,3.850000e-23
1.600000e+07,2.180000e-23
3.200000e+07,5.010000e-25
4.800000e+07,5.440000e-26
6.400000e+07,1.120000e-26
8.000000e+07,3.300000e-27
9.600000e+07,1.210000e-27
1.120000e+08,5.210000e-28
1.280000e+08,2.500000e-28
1.440000e+08,1.310000e-28
1.600000e+08,7.340000e-29
