O+(4S) + H2 --> O + H2+
X = Energy (eV),Y = Cross section (cm2)
1.500000e+01,2.250000e-18
1.700800e+01,3.630000e-18
1.900800e+01,6.080000e-18
2.100800e+01,8.380000e-18
2.300800e+01,1.060000e-17
2.500800e+01,1.340000e-17
2.700800e+01,1.630000e-17
2.900800e+01,1.890000e-17
3.100800e+01,2.100000e-17
3.600000e+01,2.530000e-17
3.800000e+01,2.700000e-17
4.000000e+01,2.900000e-17
4.200000e+01,3.090000e-17
4.400000e+01,3.270000e-17
4.600000e+01,3.500000e-17
4.800000e+01,3.600000e-17
5.000000e+01,3.780000e-17
1.560000e+02,6.960000e-17
1.670400e+02,7.040000e-17
1.790400e+02,7.120000e-17
1.920000e+02,7.190000e-17
2.060800e+02,7.290000e-17
2.209600e+02,7.430000e-17
2.360000e+02,7.550000e-17
2.529600e+02,7.600000e-17
2.720000e+02,7.650000e-17
2.910400e+02,7.740000e-17
3.120000e+02,7.880000e-17
3.340800e+02,7.980000e-17
3.580800e+02,8.050000e-17
3.840000e+02,8.150000e-17
4.120000e+02,8.300000e-17
4.409600e+02,8.510000e-17
4.729600e+02,8.720000e-17
5.070400e+02,8.850000e-17
5.440000e+02,8.880000e-17
5.830400e+02,8.870000e-17
6.249600e+02,8.930000e-17
6.700800e+02,9.090000e-17
7.180800e+02,9.280000e-17
7.689600e+02,9.400000e-17
8.249600e+02,9.480000e-17
8.840000e+02,9.570000e-17
9.470400e+02,9.700000e-17
1.016000e+03,9.840000e-17
1.088960e+03,9.970000e-17
1.167040e+03,1.010000e-16
1.251040e+03,1.030000e-16
1.340960e+03,1.050000e-16
1.436960e+03,1.090000e-16
1.540000e+03,1.120000e-16
1.651200e+03,1.140000e-16
1.769600e+03,1.130000e-16
1.897600e+03,1.100000e-16
2.033600e+03,1.090000e-16
2.180800e+03,1.090000e-16
2.336000e+03,1.120000e-16
2.504000e+03,1.160000e-16
2.684800e+03,1.190000e-16
2.876800e+03,1.200000e-16
3.084800e+03,1.210000e-16
3.305600e+03,1.240000e-16
3.544000e+03,1.290000e-16
3.798400e+03,1.380000e-16
4.070400e+03,1.490000e-16
4.364800e+03,1.620000e-16
4.678400e+03,1.780000e-16
5.014400e+03,1.960000e-16
5.374400e+03,2.200000e-16
5.761600e+03,2.510000e-16
6.174400e+03,2.890000e-16
6.619200e+03,3.350000e-16
7.094400e+03,3.880000e-16
7.604800e+03,4.480000e-16
8.152000e+03,5.110000e-16
8.737600e+03,5.780000e-16
9.366400e+03,6.460000e-16
1.003840e+04,7.150000e-16
1.076160e+04,7.860000e-16
1.153440e+04,8.570000e-16
1.236480e+04,9.280000e-16
1.325280e+04,9.990000e-16
1.420480e+04,1.070000e-15
1.522720e+04,1.140000e-15
1.632000e+04,1.200000e-15
1.748800e+04,1.260000e-15
1.875200e+04,1.320000e-15
2.009600e+04,1.370000e-15
2.155200e+04,1.410000e-15
2.308800e+04,1.440000e-15
2.475200e+04,1.460000e-15
2.652800e+04,1.480000e-15
2.844800e+04,1.480000e-15
3.048000e+04,1.470000e-15
3.267200e+04,1.460000e-15
3.502400e+04,1.440000e-15
3.755200e+04,1.410000e-15
4.024000e+04,1.370000e-15
4.286400e+04,1.330000e-15
4.536000e+04,1.300000e-15
4.800000e+04,1.260000e-15
5.080000e+04,1.220000e-15
5.374400e+04,1.180000e-15
5.688000e+04,1.150000e-15
6.019200e+04,1.110000e-15
6.369600e+04,1.070000e-15
6.740800e+04,1.030000e-15
7.132800e+04,9.960000e-16
7.547200e+04,9.600000e-16
7.987200e+04,9.230000e-16
8.452800e+04,8.860000e-16
8.944000e+04,8.490000e-16
9.465600e+04,8.120000e-16
1.001600e+05,7.760000e-16
1.059840e+05,7.400000e-16
1.121600e+05,7.070000e-16
1.186880e+05,6.740000e-16
1.256000e+05,6.440000e-16
1.329120e+05,6.170000e-16
1.406400e+05,5.920000e-16
1.488320e+05,5.690000e-16
1.575040e+05,5.500000e-16
1.667200e+05,5.330000e-16
