Zn2+ + H2 --> Zn+
X = Energy (eV),Y = Cross section (cm2)
8.125000e+02,8.700000e-16
1.014000e+03,9.000000e-16
1.319500e+03,9.900000e-16
1.521000e+03,1.090000e-15
2.034500e+03,1.020000e-15
2.535000e+03,9.800000e-16
3.048500e+03,1.010000e-15
4.062500e+03,9.300000e-16
5.076500e+03,9.000000e-16
6.071000e+03,8.600000e-16
7.085000e+03,7.900000e-16
8.125000e+03,8.300000e-16
9.165000e+03,7.600000e-16
1.014000e+04,7.600000e-16
1.222000e+04,7.200000e-16
1.423500e+04,7.000000e-16
1.774500e+04,6.400000e-16
2.034500e+04,6.600000e-16
2.288000e+04,6.100000e-16
2.541500e+04,5.900000e-16
3.048500e+04,6.100000e-16
3.555500e+04,6.100000e-16
