3He2+ + CH4 --> 3He+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.500000e+04,1.000000e-15,0.000000e+00,0.000000e+00
2.250000e+04,1.200000e-15,0.000000e+00,0.000000e+00
3.000000e+04,1.300000e-15,0.000000e+00,0.000000e+00
4.500000e+04,1.400000e-15,0.000000e+00,0.000000e+00
6.000000e+04,1.300000e-15,0.000000e+00,0.000000e+00
9.000000e+04,1.100000e-15,0.000000e+00,0.000000e+00
1.200000e+05,9.200000e-16,0.000000e+00,0.000000e+00
1.500000e+05,7.400000e-16,0.000000e+00,0.000000e+00
2.250000e+05,4.600000e-16,0.000000e+00,0.000000e+00
3.000000e+05,2.700000e-16,0.000000e+00,0.000000e+00
4.500000e+05,1.000000e-16,0.000000e+00,0.000000e+00
