3He2+ + H2 --> 3He
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.500000e+04,2.000000e-17,0.000000e+00,0.000000e+00
2.250000e+04,3.900000e-17,0.000000e+00,0.000000e+00
3.000000e+04,5.200000e-17,0.000000e+00,0.000000e+00
4.500000e+04,6.100000e-17,0.000000e+00,0.000000e+00
6.000000e+04,6.300000e-17,0.000000e+00,0.000000e+00
9.000000e+04,5.400000e-17,0.000000e+00,0.000000e+00
1.200000e+05,4.100000e-17,0.000000e+00,0.000000e+00
1.500000e+05,2.600000e-17,0.000000e+00,0.000000e+00
2.250000e+05,6.800000e-18,0.000000e+00,0.000000e+00
3.000000e+05,1.700000e-18,0.000000e+00,0.000000e+00
4.500000e+05,3.600000e-19,0.000000e+00,0.000000e+00
