Ar+ (2P3/2) + N2 --> Ar+N+N+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
1.500000e+01,4.980000e-19,0.000000e+00,0.000000e+00
1.600000e+01,9.970000e-19,0.000000e+00,0.000000e+00
1.690000e+01,1.500000e-18,0.000000e+00,0.000000e+00
1.800000e+01,9.970000e-19,0.000000e+00,0.000000e+00
1.900000e+01,4.980000e-19,0.000000e+00,0.000000e+00
2.010000e+01,4.980000e-19,0.000000e+00,0.000000e+00
2.110000e+01,9.970000e-19,0.000000e+00,0.000000e+00
2.200000e+01,3.990000e-18,0.000000e+00,0.000000e+00
2.310000e+01,4.980000e-18,0.000000e+00,0.000000e+00
2.390000e+01,7.970000e-18,0.000000e+00,0.000000e+00
2.510000e+01,1.050000e-17,0.000000e+00,0.000000e+00
2.600000e+01,1.400000e-17,0.000000e+00,0.000000e+00
2.800000e+01,2.490000e-17,0.000000e+00,0.000000e+00
2.990000e+01,4.240000e-17,3.490000e-18,3.490000e-18
3.200000e+01,5.530000e-17,0.000000e+00,0.000000e+00
3.490000e+01,7.920000e-17,0.000000e+00,0.000000e+00
3.590000e+01,8.320000e-17,0.000000e+00,0.000000e+00
4.020000e+01,1.140000e-16,7.470000e-18,4.490000e-18
4.520000e+01,1.340000e-16,0.000000e+00,0.000000e+00
5.040000e+01,1.460000e-16,0.000000e+00,0.000000e+00
6.010000e+01,1.500000e-16,1.400000e-17,9.970000e-18
7.080000e+01,1.520000e-16,0.000000e+00,0.000000e+00
8.120000e+01,1.460000e-16,0.000000e+00,0.000000e+00
9.010000e+01,1.400000e-16,0.000000e+00,0.000000e+00
1.000000e+02,1.340000e-16,1.200000e-17,1.050000e-17
1.200000e+02,1.260000e-16,0.000000e+00,0.000000e+00
1.400000e+02,1.190000e-16,0.000000e+00,0.000000e+00
1.600000e+02,1.160000e-16,0.000000e+00,0.000000e+00
1.800000e+02,1.130000e-16,0.000000e+00,0.000000e+00
2.000000e+02,1.110000e-16,0.000000e+00,0.000000e+00
2.240000e+02,1.160000e-16,5.980000e-18,5.480000e-18
2.480000e+02,1.160000e-16,0.000000e+00,0.000000e+00
2.740000e+02,1.150000e-16,0.000000e+00,0.000000e+00
2.990000e+02,1.150000e-16,8.980000e-18,6.980000e-18
