Ar+ (2P3/2) + CO2 --> CO+
X = Electron energy (eV),Y = Cross section (cm2),Y Error Plus (cm2),Y Error Minus (cm2)
3.054545e+00,4.690000e-18,0.000000e+00,0.000000e+00
4.009091e+00,5.630000e-18,0.000000e+00,0.000000e+00
4.982727e+00,5.630000e-18,0.000000e+00,0.000000e+00
6.128182e+00,5.630000e-18,0.000000e+00,0.000000e+00
7.235455e+00,5.630000e-18,0.000000e+00,0.000000e+00
8.075455e+00,5.630000e-18,0.000000e+00,0.000000e+00
8.781818e+00,5.630000e-18,0.000000e+00,0.000000e+00
9.793636e+00,7.510000e-18,0.000000e+00,0.000000e+00
1.072909e+01,1.130000e-17,0.000000e+00,0.000000e+00
1.204636e+01,1.030000e-17,0.000000e+00,0.000000e+00
1.302000e+01,1.310000e-17,0.000000e+00,0.000000e+00
1.397455e+01,1.970000e-17,0.000000e+00,0.000000e+00
1.510091e+01,2.070000e-17,0.000000e+00,0.000000e+00
1.609364e+01,2.910000e-17,0.000000e+00,0.000000e+00
1.750636e+01,3.660000e-17,0.000000e+00,0.000000e+00
1.796455e+01,5.070000e-17,0.000000e+00,0.000000e+00
1.947273e+01,6.380000e-17,0.000000e+00,0.000000e+00
2.061818e+01,7.700000e-17,0.000000e+00,0.000000e+00
2.080909e+01,9.010000e-17,0.000000e+00,0.000000e+00
2.195455e+01,1.000000e-16,0.000000e+00,0.000000e+00
2.310000e+01,1.100000e-16,0.000000e+00,0.000000e+00
2.329091e+01,1.250000e-16,0.000000e+00,0.000000e+00
2.462727e+01,1.330000e-16,0.000000e+00,0.000000e+00
2.558182e+01,1.430000e-16,0.000000e+00,0.000000e+00
2.653636e+01,1.570000e-16,0.000000e+00,0.000000e+00
2.825455e+01,1.700000e-16,0.000000e+00,0.000000e+00
2.959091e+01,1.860000e-16,0.000000e+00,0.000000e+00
3.207273e+01,1.960000e-16,0.000000e+00,0.000000e+00
3.283636e+01,2.080000e-16,0.000000e+00,0.000000e+00
3.570000e+01,2.090000e-16,0.000000e+00,0.000000e+00
3.646364e+01,2.260000e-16,0.000000e+00,0.000000e+00
4.009091e+01,2.180000e-16,0.000000e+00,0.000000e+00
5.001818e+01,1.950000e-16,0.000000e+00,0.000000e+00
5.956364e+01,1.660000e-16,0.000000e+00,0.000000e+00
7.350000e+01,1.460000e-16,0.000000e+00,0.000000e+00
9.831818e+01,1.230000e-16,0.000000e+00,0.000000e+00
1.240909e+02,1.110000e-16,0.000000e+00,0.000000e+00
1.494818e+02,1.100000e-16,0.000000e+00,0.000000e+00
1.733455e+02,1.100000e-16,0.000000e+00,0.000000e+00
1.985455e+02,1.150000e-16,0.000000e+00,0.000000e+00
2.176364e+02,1.250000e-16,0.000000e+00,0.000000e+00
2.462727e+02,1.420000e-16,0.000000e+00,0.000000e+00
